tomato	3	2015-10-31 14:27:16.298431
pineapple	5	2015-10-31 14:27:16.298431
tomato	3	2015-10-31 14:27:16.298431
onion	4	2015-10-31 14:27:16.298431
pineapple	5	2015-10-31 14:27:16.298431
tomato	0	2015-10-31 14:27:16.298431
onion	2	2015-10-31 14:27:16.298431
pineapple	4	2015-10-31 14:27:16.298431
onion	4	2015-10-31 14:27:16.299431
onion	5	2015-10-31 14:27:16.299431
pineapple	1	2015-10-31 14:27:16.299431
onion	0	2015-10-31 14:27:16.299431
pineapple	4	2015-10-31 14:27:16.299431
pineapple	3	2015-10-31 14:27:16.299431
onion	3	2015-10-31 14:27:16.299431
onion	4	2015-10-31 14:27:16.299431
onion	1	2015-10-31 14:27:16.299431
onion	2	2015-10-31 14:27:16.299431
pineapple	4	2015-10-31 14:27:16.299431
pineapple	2	2015-10-31 14:27:16.299431
pineapple	2	2015-10-31 14:27:16.299431
onion	2	2015-10-31 14:27:16.299431
tomato	5	2015-10-31 14:27:16.299431
tomato	0	2015-10-31 14:27:16.299431
onion	5	2015-10-31 14:27:16.299431
onion	0	2015-10-31 14:27:16.299431
pineapple	5	2015-10-31 14:27:16.299431
tomato	3	2015-10-31 14:27:16.299431
pineapple	5	2015-10-31 14:27:16.299431
pineapple	4	2015-10-31 14:27:16.299431
pineapple	4	2015-10-31 14:27:16.299431
tomato	0	2015-10-31 14:27:16.299431
onion	5	2015-10-31 14:27:16.299431
tomato	5	2015-10-31 14:27:16.299431
onion	4	2015-10-31 14:27:16.299431
pineapple	2	2015-10-31 14:27:16.299431
tomato	0	2015-10-31 14:27:16.299431
pineapple	4	2015-10-31 14:27:16.299431
pineapple	3	2015-10-31 14:27:16.299431
tomato	3	2015-10-31 14:27:16.299431
tomato	1	2015-10-31 14:27:16.299431
pineapple	0	2015-10-31 14:27:16.299431
tomato	3	2015-10-31 14:27:16.299431
onion	1	2015-10-31 14:27:16.299431
onion	2	2015-10-31 14:27:16.299431
onion	3	2015-10-31 14:27:16.299431
onion	0	2015-10-31 14:27:16.299431
onion	3	2015-10-31 14:27:16.299431
onion	1	2015-10-31 14:27:16.299431
pineapple	3	2015-10-31 14:27:16.299431
pineapple	4	2015-10-31 14:27:16.299431
onion	1	2015-10-31 14:27:16.299431
tomato	3	2015-10-31 14:27:16.299431
tomato	3	2015-10-31 14:27:16.299431
tomato	3	2015-10-31 14:27:16.299431
pineapple	0	2015-10-31 14:27:16.299431
tomato	5	2015-10-31 14:27:16.299431
tomato	2	2015-10-31 14:27:16.299431
onion	1	2015-10-31 14:27:16.299431
pineapple	0	2015-10-31 14:27:16.299431
tomato	2	2015-10-31 14:27:16.299431
onion	5	2015-10-31 14:27:16.299431
tomato	3	2015-10-31 14:27:16.299431
tomato	5	2015-10-31 14:27:16.299431
pineapple	4	2015-10-31 14:27:16.299431
pineapple	3	2015-10-31 14:27:16.299431
tomato	4	2015-10-31 14:27:16.299431
onion	1	2015-10-31 14:27:16.299431
pineapple	5	2015-10-31 14:27:16.300434
pineapple	3	2015-10-31 14:27:16.300434
pineapple	5	2015-10-31 14:27:16.300434
pineapple	5	2015-10-31 14:27:16.300434
tomato	1	2015-10-31 14:27:16.300434
tomato	5	2015-10-31 14:27:16.300434
onion	3	2015-10-31 14:27:16.300434
tomato	1	2015-10-31 14:27:16.300434
pineapple	1	2015-10-31 14:27:16.300434
onion	3	2015-10-31 14:27:16.300434
pineapple	2	2015-10-31 14:27:16.300434
onion	5	2015-10-31 14:27:16.300434
tomato	1	2015-10-31 14:27:16.300434
onion	2	2015-10-31 14:27:16.300434
pineapple	3	2015-10-31 14:27:16.300434
onion	1	2015-10-31 14:27:16.300434
tomato	0	2015-10-31 14:27:16.300434
tomato	0	2015-10-31 14:27:16.300434
tomato	4	2015-10-31 14:27:16.300434
pineapple	2	2015-10-31 14:27:16.300434
pineapple	3	2015-10-31 14:27:16.300434
onion	5	2015-10-31 14:27:16.300434
tomato	5	2015-10-31 14:27:16.300434
onion	1	2015-10-31 14:27:16.300434
pineapple	3	2015-10-31 14:27:16.300434
pineapple	4	2015-10-31 14:27:16.300434
tomato	0	2015-10-31 14:27:16.300434
pineapple	2	2015-10-31 14:27:16.300434
onion	3	2015-10-31 14:27:16.300434
onion	5	2015-10-31 14:27:16.300434
pineapple	1	2015-10-31 14:27:16.300434
onion	4	2015-10-31 14:27:16.300434
pineapple	4	2015-10-31 14:27:16.300434
pineapple	2	2015-10-31 14:27:16.300434
pineapple	3	2015-10-31 14:27:16.300434
pineapple	0	2015-10-31 14:27:16.300434
onion	0	2015-10-31 14:27:16.300434
pineapple	5	2015-10-31 14:27:16.300434
onion	0	2015-10-31 14:27:16.300434
onion	2	2015-10-31 14:27:16.300434
onion	0	2015-10-31 14:27:16.300434
onion	1	2015-10-31 14:27:16.301436
onion	4	2015-10-31 14:27:16.301436
tomato	3	2015-10-31 14:27:16.301436
onion	3	2015-10-31 14:27:16.301436
onion	2	2015-10-31 14:27:16.301436
tomato	5	2015-10-31 14:27:16.301436
pineapple	3	2015-10-31 14:27:16.301436
